epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,417.9,1.26706,2.37218,1.49549,0.87133,0.33362,0.39138,0.27477,1.48881,3.05757,1.82337,0.000545918,0.000545918,0.000545918
2,778.135,1.31437,1.90671,1.51559,0.49916,0.46848,0.40539,0.17789,1.89326,2.73295,2.47607,0.00109068,0.00109068,0.00109068
3,1134.09,1.37664,1.87632,1.54749,0.22847,0.31064,0.21468,0.10935,2.02476,3.00549,2.24143,0.00162444,0.00162444,0.00162444
4,1492.62,1.3923,1.79456,1.56376,0.36761,0.50276,0.38976,0.23083,1.86595,3.22303,2.22867,0.00161749,0.00161749,0.00161749
5,1849.03,1.38143,1.6739,1.53742,0.54465,0.53323,0.51755,0.3311,1.66852,2.00447,1.98625,0.00160099,0.00160099,0.00160099
6,2205.11,1.37137,1.66578,1.54803,0.60447,0.33968,0.33707,0.17636,1.96395,2.53185,2.38984,0.00158448,0.00158448,0.00158448
7,2563.4,1.35122,1.54853,1.51312,0.59006,0.4912,0.52369,0.34343,1.63563,2.2177,1.9175,0.00156798,0.00156798,0.00156798
8,2922.66,1.30985,1.50783,1.51422,0.52359,0.58998,0.55456,0.37751,1.50433,1.79953,1.82948,0.00155148,0.00155148,0.00155148
9,3281.72,1.29836,1.46325,1.48584,0.43077,0.56208,0.46178,0.31565,1.56695,2.11473,1.9676,0.00153497,0.00153497,0.00153497
10,3637.94,1.24251,1.44415,1.46106,0.63585,0.58674,0.58915,0.41007,1.46626,1.70381,1.79748,0.00151847,0.00151847,0.00151847
11,3992.26,1.25691,1.40824,1.46288,0.5442,0.62041,0.59441,0.42378,1.36743,1.58911,1.73132,0.00150197,0.00150197,0.00150197
12,4349.97,1.22337,1.31217,1.4331,0.62701,0.57272,0.59023,0.4038,1.44036,1.87678,1.78038,0.00148546,0.00148546,0.00148546
13,4704.8,1.20041,1.31815,1.42297,0.59609,0.61412,0.62592,0.45549,1.35913,1.47996,1.6785,0.00146896,0.00146896,0.00146896
14,5060.01,1.21587,1.31383,1.42035,0.60319,0.57197,0.58673,0.42097,1.41038,1.6623,1.68173,0.00145246,0.00145246,0.00145246
15,5417.17,1.21418,1.29319,1.42018,0.74141,0.55018,0.61441,0.44081,1.39134,1.5247,1.65634,0.00143595,0.00143595,0.00143595
16,5774.99,1.15258,1.21733,1.39337,0.60259,0.64605,0.63975,0.4495,1.42132,1.68025,1.75167,0.00141945,0.00141945,0.00141945
17,6133.35,1.17203,1.19258,1.37875,0.65938,0.61658,0.63322,0.43849,1.38577,1.49429,1.71528,0.00140295,0.00140295,0.00140295
18,6489.84,1.17509,1.22499,1.40939,0.65341,0.63351,0.64951,0.43785,1.38028,1.44025,1.70309,0.00138644,0.00138644,0.00138644
19,6847.51,1.1614,1.21145,1.391,0.71402,0.53642,0.61116,0.40358,1.42175,1.61729,1.79003,0.00136994,0.00136994,0.00136994
20,7205.15,1.10485,1.15962,1.35336,0.56146,0.6466,0.62581,0.44176,1.34537,1.46306,1.69477,0.00135344,0.00135344,0.00135344
21,7561.34,1.13469,1.14479,1.37445,0.70883,0.62654,0.65325,0.46477,1.36431,1.38724,1.70262,0.00133693,0.00133693,0.00133693
